"word","pos","level","source"
"a","indefinite article","A1","Oxford 3000"
"about","adverb","A1","Oxford 3000"
"about","preposition","A1","Oxford 3000"
"above","adverb","A1","Oxford 3000"
"above","preposition","A1","Oxford 3000"
"across","adverb","A1","Oxford 3000"
"across","preposition","A1","Oxford 3000"
"action","noun","A1","Oxford 3000"
"activity","noun","A1","Oxford 3000"
"actor","noun","A1","Oxford 3000"
"actress","noun","A1","Oxford 3000"
"add","verb","A1","Oxford 3000"
"address","noun","A1","Oxford 3000"
"adult","noun","A1","Oxford 3000"
"advice","noun","A1","Oxford 3000"
"afraid","adjective","A1","Oxford 3000"
"after","preposition","A1","Oxford 3000"
"afternoon","noun","A1","Oxford 3000"
"again","adverb","A1","Oxford 3000"
"age","noun","A1","Oxford 3000"
"ago","adverb","A1","Oxford 3000"
"agree","verb","A1","Oxford 3000"
"air","noun","A1","Oxford 3000"
"airport","noun","A1","Oxford 3000"
"all","determiner","A1","Oxford 3000"
"all","pronoun","A1","Oxford 3000"
"also","adverb","A1","Oxford 3000"
"always","adverb","A1","Oxford 3000"
"amazing","adjective","A1","Oxford 3000"
"and","conjunction","A1","Oxford 3000"
"angry","adjective","A1","Oxford 3000"
"animal","noun","A1","Oxford 3000"
"another","determiner","A1","Oxford 3000"
"another","pronoun","A1","Oxford 3000"
"answer","noun","A1","Oxford 3000"
"answer","verb","A1","Oxford 3000"
"any","determiner","A1","Oxford 3000"
"any","pronoun","A1","Oxford 3000"
"anyone","pronoun","A1","Oxford 3000"
"anything","pronoun","A1","Oxford 3000"
"apartment","noun","A1","Oxford 3000"
"apple","noun","A1","Oxford 3000"
"april","noun","A1","Oxford 3000"
"area","noun","A1","Oxford 3000"
"arm","noun","A1","Oxford 3000"
"around","adverb","A1","Oxford 3000"
"around","preposition","A1","Oxford 3000"
"arrive","verb","A1","Oxford 3000"
"art","noun","A1","Oxford 3000"
"article","noun","A1","Oxford 3000"
"artist","noun","A1","Oxford 3000"
"as","preposition","A1","Oxford 3000"
"ask","verb","A1","Oxford 3000"
"at","preposition","A1","Oxford 3000"
"august","noun","A1","Oxford 3000"
"aunt","noun","A1","Oxford 3000"
"autumn","noun","A1","Oxford 3000"
"away","adverb","A1","Oxford 3000"
"baby","noun","A1","Oxford 3000"
"back","adverb","A1","Oxford 3000"
"back","noun","A1","Oxford 3000"
"bad","adjective","A1","Oxford 3000"
"bag","noun","A1","Oxford 3000"
"ball","noun","A1","Oxford 3000"
"banana","noun","A1","Oxford 3000"
"band","noun","A1","Oxford 3000"
"bank","noun","A1","Oxford 3000"
"bath","noun","A1","Oxford 3000"
"bathroom","noun","A1","Oxford 3000"
"be","auxiliary verb","A1","Oxford 3000"
"be","verb","A1","Oxford 3000"
"beach","noun","A1","Oxford 3000"
"beautiful","adjective","A1","Oxford 3000"
"because","conjunction","A1","Oxford 3000"
"become","verb","A1","Oxford 3000"
"bed","noun","A1","Oxford 3000"
"bedroom","noun","A1","Oxford 3000"
"beer","noun","A1","Oxford 3000"
"before","preposition","A1","Oxford 3000"
"begin","verb","A1","Oxford 3000"
"beginning","noun","A1","Oxford 3000"
"behind","adverb","A1","Oxford 3000"
"behind","preposition","A1","Oxford 3000"
"believe","verb","A1","Oxford 3000"
"below","adverb","A1","Oxford 3000"
"below","preposition","A1","Oxford 3000"
"best","adjective","A1","Oxford 3000"
"better","adjective","A1","Oxford 3000"
"between","preposition","A1","Oxford 3000"
"bicycle","noun","A1","Oxford 3000"
"big","adjective","A1","Oxford 3000"
"bike","noun","A1","Oxford 3000"
"bill","noun","A1","Oxford 3000"
"bird","noun","A1","Oxford 3000"
"birthday","noun","A1","Oxford 3000"
"black","adjective","A1","Oxford 3000"
"black","noun","A1","Oxford 3000"
"blog","noun","A1","Oxford 3000"
"blonde","adjective","A1","Oxford 3000"
"blue","adjective","A1","Oxford 3000"
"blue","noun","A1","Oxford 3000"
"boat","noun","A1","Oxford 3000"
"body","noun","A1","Oxford 3000"
"book","noun","A1","Oxford 3000"
"boot","noun","A1","Oxford 3000"
"bored","adjective","A1","Oxford 3000"
"boring","adjective","A1","Oxford 3000"
"born","verb","A1","Oxford 3000"
"both","determiner","A1","Oxford 3000"
"both","pronoun","A1","Oxford 3000"
"bottle","noun","A1","Oxford 3000"
"box","noun","A1","Oxford 3000"
"boy","noun","A1","Oxford 3000"
"boyfriend","noun","A1","Oxford 3000"
"bread","noun","A1","Oxford 3000"
"break","noun","A1","Oxford 3000"
"break","verb","A1","Oxford 3000"
"breakfast","noun","A1","Oxford 3000"
"bring","verb","A1","Oxford 3000"
"brother","noun","A1","Oxford 3000"
"brown","adjective","A1","Oxford 3000"
"brown","noun","A1","Oxford 3000"
"build","verb","A1","Oxford 3000"
"building","noun","A1","Oxford 3000"
"bus","noun","A1","Oxford 3000"
"business","noun","A1","Oxford 3000"
"busy","adjective","A1","Oxford 3000"
"but","conjunction","A1","Oxford 3000"
"butter","noun","A1","Oxford 3000"
"buy","verb","A1","Oxford 3000"
"by","preposition","A1","Oxford 3000"
"bye","exclamation","A1","Oxford 3000"
"cafe","noun","A1","Oxford 3000"
"cake","noun","A1","Oxford 3000"
"call","noun","A1","Oxford 3000"
"call","verb","A1","Oxford 3000"
"camera","noun","A1","Oxford 3000"
"can","modal verb","A1","Oxford 3000"
"cannot","modal verb","A1","Oxford 3000"
"capital","adjective","A1","Oxford 3000"
"capital","noun","A1","Oxford 3000"
"car","noun","A1","Oxford 3000"
"card","noun","A1","Oxford 3000"
"career","noun","A1","Oxford 3000"
"carrot","noun","A1","Oxford 3000"
"carry","verb","A1","Oxford 3000"
"cat","noun","A1","Oxford 3000"
"cd","noun","A1","Oxford 3000"
"cent","noun","A1","Oxford 3000"
"centre","noun","A1","Oxford 3000"
"century","noun","A1","Oxford 3000"
"chair","noun","A1","Oxford 3000"
"change","noun","A1","Oxford 3000"
"change","verb","A1","Oxford 3000"
"chart","noun","A1","Oxford 3000"
"cheap","adjective","A1","Oxford 3000"
"check","verb","A1","Oxford 3000"
"cheese","noun","A1","Oxford 3000"
"chicken","noun","A1","Oxford 3000"
"child","noun","A1","Oxford 3000"
"chocolate","noun","A1","Oxford 3000"
"choose","verb","A1","Oxford 3000"
"cinema","noun","A1","Oxford 3000"
"city","noun","A1","Oxford 3000"
"class","noun","A1","Oxford 3000"
"classroom","noun","A1","Oxford 3000"
"clean","adjective","A1","Oxford 3000"
"clean","verb","A1","Oxford 3000"
"climb","verb","A1","Oxford 3000"
"clock","noun","A1","Oxford 3000"
"close","verb","A1","Oxford 3000"
"clothes","noun","A1","Oxford 3000"
"club","noun","A1","Oxford 3000"
"coat","noun","A1","Oxford 3000"
"coffee","noun","A1","Oxford 3000"
"cold","adjective","A1","Oxford 3000"
"cold","noun","A1","Oxford 3000"
"college","noun","A1","Oxford 3000"
"colour","noun","A1","Oxford 3000"
"come","verb","A1","Oxford 3000"
"common","adjective","A1","Oxford 3000"
"company","noun","A1","Oxford 3000"
"compare","verb","A1","Oxford 3000"
"complete","adjective","A1","Oxford 3000"
"complete","verb","A1","Oxford 3000"
"computer","noun","A1","Oxford 3000"
"concert","noun","A1","Oxford 3000"
"conversation","noun","A1","Oxford 3000"
"cook","verb","A1","Oxford 3000"
"cooking","noun","A1","Oxford 3000"
"cool","adjective","A1","Oxford 3000"
"correct","adjective","A1","Oxford 3000"
"correct","verb","A1","Oxford 3000"
"cost","noun","A1","Oxford 3000"
"cost","verb","A1","Oxford 3000"
"could","modal verb","A1","Oxford 3000"
"country","noun","A1","Oxford 3000"
"course","noun","A1","Oxford 3000"
"cousin","noun","A1","Oxford 3000"
"cow","noun","A1","Oxford 3000"
"cream","noun","A1","Oxford 3000"
"create","verb","A1","Oxford 3000"
"culture","noun","A1","Oxford 3000"
"cup","noun","A1","Oxford 3000"
"customer","noun","A1","Oxford 3000"
"cut","verb","A1","Oxford 3000"
"dad","noun","A1","Oxford 3000"
"dance","noun","A1","Oxford 3000"
"dance","verb","A1","Oxford 3000"
"dancer","noun","A1","Oxford 3000"
"dancing","noun","A1","Oxford 3000"
"dangerous","adjective","A1","Oxford 3000"
"dark","adjective","A1","Oxford 3000"
"date","noun","A1","Oxford 3000"
"daughter","noun","A1","Oxford 3000"
"day","noun","A1","Oxford 3000"
"dear","adjective","A1","Oxford 3000"
"december","noun","A1","Oxford 3000"
"decide","verb","A1","Oxford 3000"
"delicious","adjective","A1","Oxford 3000"
"describe","verb","A1","Oxford 3000"
"description","noun","A1","Oxford 3000"
"design","noun","A1","Oxford 3000"
"design","verb","A1","Oxford 3000"
"desk","noun","A1","Oxford 3000"
"detail","noun","A1","Oxford 3000"
"dialogue","noun","A1","Oxford 3000"
"dictionary","noun","A1","Oxford 3000"
"die","verb","A1","Oxford 3000"
"diet","noun","A1","Oxford 3000"
"difference","noun","A1","Oxford 3000"
"different","adjective","A1","Oxford 3000"
"difficult","adjective","A1","Oxford 3000"
"dinner","noun","A1","Oxford 3000"
"dirty","adjective","A1","Oxford 3000"
